well	communityType	media	replicate	bacte1	bacte2
A1	preAbx	mBHI	1	NA	NA
A2	postAbxV1	mBHI	1	NA	NA
A3	postAbxV2	mBHI	1	NA	NA
A4	blank	mBHI	1	NA	NA
A5	blank	mBHI	1	NA	NA
A6	bacteSwap	mBHI	1	Bacte.0001	NA
A7	bacteSwap	mBHI	1	Bacte.0004	NA
A8	bacteSwap	mBHI	1	Bacte.0007	NA
A9	bacteSwap	mBHI	1	Bacte.0008	NA
A10	bacteSwap	mBHI	1	Bacte.0024	NA
A11	bacteSwap	mBHI	1	Bacte.0142	NA
A12	bacteSwap	mBHI	1	Bacte.0146	NA
B1	preAbx	mBHI	2	NA	NA
B2	postAbxV1	mBHI	2	NA	NA
B3	postAbxV2	mBHI	2	NA	NA
B4	blank	mBHI	2	NA	NA
B5	bacteSwap	mBHI	3	NA	Bacte.0001
B6	bacteSwap	mBHI	1	Bacte.0001	Bacte.0001
B7	bacteSwap	mBHI	1	Bacte.0004	Bacte.0001
B8	bacteSwap	mBHI	1	Bacte.0007	Bacte.0001
B9	bacteSwap	mBHI	1	Bacte.0008	Bacte.0001
B10	bacteSwap	mBHI	1	Bacte.0024	Bacte.0001
B11	bacteSwap	mBHI	1	Bacte.0142	Bacte.0001
B12	bacteSwap	mBHI	1	Bacte.0146	Bacte.0001
C1	preAbx	mBHI	3	NA	NA
C2	postAbxV1	mBHI	3	NA	NA
C3	postAbxV2	mBHI	3	NA	NA
C4	blank	mBHI	3	NA	NA
C5	bacteSwap	mBHI	2	NA	Bacte.0004
C6	bacteSwap	mBHI	3	Bacte.0001	Bacte.0004
C7	bacteSwap	mBHI	1	Bacte.0004	Bacte.0004
C8	bacteSwap	mBHI	1	Bacte.0007	Bacte.0004
C9	bacteSwap	mBHI	1	Bacte.0008	Bacte.0004
C10	bacteSwap	mBHI	1	Bacte.0024	Bacte.0004
C11	bacteSwap	mBHI	1	Bacte.0142	Bacte.0004
C12	bacteSwap	mBHI	1	Bacte.0146	Bacte.0004
D1	preAbx	mBHI	4	NA	NA
D2	postAbxV1	mBHI	4	NA	NA
D3	postAbxV2	mBHI	4	NA	NA
D4	blank	mBHI	4	NA	NA
D5	bacteSwap	mBHI	2	NA	Bacte.0007
D6	bacteSwap	mBHI	2	Bacte.0001	Bacte.0007
D7	bacteSwap	mBHI	3	Bacte.0004	Bacte.0007
D8	bacteSwap	mBHI	1	Bacte.0007	Bacte.0007
D9	bacteSwap	mBHI	1	Bacte.0008	Bacte.0007
D10	bacteSwap	mBHI	1	Bacte.0024	Bacte.0007
D11	bacteSwap	mBHI	1	Bacte.0142	Bacte.0007
D12	bacteSwap	mBHI	1	Bacte.0146	Bacte.0007
E1	preAbx	mGAM	1	NA	NA
E2	preAbx	RCM	1	NA	NA
E3	preAbx	YCFA	1	NA	NA
E4	bacteOnly	mBHI	1	NA	NA
E5	bacteSwap	mBHI	2	NA	Bacte.0008
E6	bacteSwap	mBHI	2	Bacte.0001	Bacte.0008
E7	bacteSwap	mBHI	2	Bacte.0004	Bacte.0008
E8	bacteSwap	mBHI	3	Bacte.0007	Bacte.0008
E9	bacteSwap	mBHI	1	Bacte.0008	Bacte.0008
E10	bacteSwap	mBHI	1	Bacte.0024	Bacte.0008
E11	bacteSwap	mBHI	1	Bacte.0142	Bacte.0008
E12	bacteSwap	mBHI	1	Bacte.0146	Bacte.0008
F1	preAbx	mGAM	2	NA	NA
F2	preAbx	RCM	2	NA	NA
F3	preAbx	YCFA	2	NA	NA
F4	bacteOnly	mBHI	2	NA	NA
F5	bacteSwap	mBHI	2	NA	Bacte.0024
F6	bacteSwap	mBHI	2	Bacte.0001	Bacte.0024
F7	bacteSwap	mBHI	2	Bacte.0004	Bacte.0024
F8	bacteSwap	mBHI	2	Bacte.0007	Bacte.0024
F9	bacteSwap	mBHI	3	Bacte.0008	Bacte.0024
F10	bacteSwap	mBHI	1	Bacte.0024	Bacte.0024
F11	bacteSwap	mBHI	1	Bacte.0142	Bacte.0024
F12	bacteSwap	mBHI	1	Bacte.0146	Bacte.0024
G1	preAbx	mGAM	3	NA	NA
G2	preAbx	RCM	3	NA	NA
G3	preAbx	YCFA	3	NA	NA
G4	bacteOnly	mBHI	3	NA	NA
G5	bacteSwap	mBHI	2	NA	Bacte.0142
G6	bacteSwap	mBHI	2	Bacte.0001	Bacte.0142
G7	bacteSwap	mBHI	2	Bacte.0004	Bacte.0142
G8	bacteSwap	mBHI	2	Bacte.0007	Bacte.0142
G9	bacteSwap	mBHI	2	Bacte.0008	Bacte.0142
G10	bacteSwap	mBHI	3	Bacte.0024	Bacte.0142
G11	bacteSwap	mBHI	1	Bacte.0142	Bacte.0142
G12	bacteSwap	mBHI	1	Bacte.0146	Bacte.0142
H1	preAbx	mGAM	4	NA	NA
H2	preAbx	RCM	4	NA	NA
H3	preAbx	YCFA	4	NA	NA
H4	bacteOnly	mBHI	4	NA	NA
H5	bacteSwap	mBHI	2	NA	Bacte.0146
H6	bacteSwap	mBHI	2	Bacte.0001	Bacte.0146
H7	bacteSwap	mBHI	2	Bacte.0004	Bacte.0146
H8	bacteSwap	mBHI	2	Bacte.0007	Bacte.0146
H9	bacteSwap	mBHI	2	Bacte.0008	Bacte.0146
H10	bacteSwap	mBHI	2	Bacte.0024	Bacte.0146
H11	bacteSwap	mBHI	3	Bacte.0142	Bacte.0146
H12	bacteSwap	mBHI	3	Bacte.0146	Bacte.0146