well	replicate
A1	replicate1
A2	replicate1
A3	replicate1
A4	replicate1
A5	NA
A6	NA
A7	NA
A8	NA
A9	NA
A10	NA
A11	NA
A12	NA
B1	replicate2
B2	replicate2
B3	replicate2
B4	replicate2
B5	NA
B6	NA
B7	NA
B8	NA
B9	NA
B10	NA
B11	NA
B12	NA
C1	replicate3
C2	replicate3
C3	replicate3
C4	replicate3
C5	NA
C6	NA
C7	NA
C8	NA
C9	NA
C10	NA
C11	NA
C12	NA
D1	replicate4
D2	replicate4
D3	replicate4
D4	replicate4
D5	NA
D6	NA
D7	NA
D8	NA
D9	NA
D10	NA
D11	NA
D12	NA
E1	replicate1
E2	replicate1
E3	replicate1
E4	replicate1
E5	NA
E6	NA
E7	NA
E8	NA
E9	NA
E10	NA
E11	NA
E12	NA
F1	replicate2
F2	replicate2
F3	replicate2
F4	replicate2
F5	NA
F6	NA
F7	NA
F8	NA
F9	NA
F10	NA
F11	NA
F12	NA
G1	replicate3
G2	replicate3
G3	replicate3
G4	replicate3
G5	NA
G6	NA
G7	NA
G8	NA
G9	NA
G10	NA
G11	NA
G12	NA
H1	replicate4
H2	replicate4
H3	replicate4
H4	replicate4
H5	NA
H6	NA
H7	NA
H8	NA
H9	NA
H10	NA
H11	NA
H12	NA